gid,favela,2017,2020,2024,osm,temporal,completed
181,PARQUE EUROPA II,False,False,False,False,False,0
182,JACINTO PALHARES,False,False,False,False,False,0
183,KAGOHARA II,False,False,False,False,False,0
184,CASTRO PRADO,False,False,False,False,False,0
185,JAPARANDUBA II,False,False,False,False,False,0
186,SEVILHA,False,False,False,False,False,0
187,CÓRREGO DA PACIÊNCIA,False,False,False,False,False,0
188,ANDORINHA DOS BEIRAIS,False,False,False,False,False,0
189,UBAI,False,False,False,False,False,0
190,FRANCISCO ALVARES,False,False,False,False,False,0
191,OCUPAÇÃO VIADUTO DIÁRIO POPULAR,False,False,False,False,False,0
192,PERNAMBUCO,False,False,False,False,False,0
193,TAJAPURÚ,False,False,False,False,False,0
194,ALBA,False,False,False,False,False,0
195,CARLOS VILALVA JUNIOR,False,False,False,False,False,0
196,AMERICANÓPOLIS,False,False,False,False,False,0
197,JARDIM ANA MARIA III,False,False,False,False,False,0
198,SIMIS,False,False,False,False,False,0
199,SANTA MERCEDES,False,False,False,False,False,0
200,GENEVE,False,False,False,False,False,0
201,LIGHT I,False,False,False,False,False,0
203,DARIO RIBEIRO,False,False,False,False,False,0
204,JARDIM CAPELA / SANTA BÁRBARA,False,False,False,False,False,0
205,ATALIBA LEONEL II,False,False,False,False,False,0
206,JOSÉ PAULINO DOS SANTOS,False,False,False,False,False,0
207,CONGONHAS DO NORTE,False,False,False,False,False,0
208,SÃO JOÃO BATISTA,False,False,False,False,False,0
209,VALE DAS VIRTUDES III,False,False,False,False,False,0
210,PARQUE DOROTEIA I E II,False,False,False,False,False,0
211,CANDIDA RAMOS,False,False,False,False,False,0
213,JARDIM NATAL,False,False,False,False,False,0
214,PARAISÓPOLIS,False,False,False,False,False,0
215,JARDIM SANTA LUCIA,False,False,False,False,False,0
216,FRANCISCO GIULIANI,False,False,False,False,False,0
217,VERDUM,False,False,False,False,False,0
218,VILA INDUSTRIAL,False,False,False,False,False,0
219,DOMINGOS TAVARES SANTIAGO,False,False,False,False,False,0
225,JARDIM MIRNA,False,False,False,False,False,0
220,JARDIM MORAIS PRADO I,False,False,False,False,False,0
221,JARDIM MONTE ALEGRE II,False,False,False,False,False,0
222,OCUPAÇÃO MAX PLANCK,False,False,False,False,False,0
223,SANTA TEREZINHA / FEPASA / APIARIS,False,False,False,False,False,0
224,COCAIA I,False,False,False,False,False,0
227,PORTO SEGURO,False,False,False,False,False,0
228,FAVELA CONJUNTO PARQUE NOVO MUNDO - NOVA TIETÊ,False,False,False,False,False,0
229,UNIVERSAL,False,False,False,False,False,0
230,MARGINAL DOIS,False,False,False,False,False,0
231,PISCINÃO ARICANDUVA,False,False,False,False,False,0
232,SARGENTO JOSÉ PESSOTO SOBRINHO,False,False,False,False,False,0
233,ZAKI NARCHI,False,False,False,False,False,0
234,SITIO CONCEIÇÃO II,False,False,False,False,False,0
235,JARDIM COLOMBO,False,False,False,False,False,0
236,JOÃO VELOSO,False,False,False,False,False,0
237,JARDIM COMERCIAL IV,False,False,False,False,False,0
238,AFONSO DOMINGUES,False,False,False,False,False,0
239,RIO CLARO II,False,False,False,False,False,0
240,JARDIM NOVO SANTO AMARO I,False,False,False,False,False,0
241,MANGUARI,False,False,False,False,False,0
242,JOAQUIM BARBOSA DE ALMEIDA FILHO,False,False,False,False,False,0
243,MANUEL ANTÔNIO DE FREITAS,False,False,False,False,False,0
244,PARQUE ALIANÇA,False,False,False,False,False,0
245,MARIANA BELIZARIA DA CONCEIÇÃO,False,False,False,False,False,0
246,JARDIM SÃO BERNARDO,False,False,False,False,False,0
247,PEDRO PAULO LAGRECA NETO,False,False,False,False,False,0
248,MARATIS,False,False,False,False,False,0
249,UIRAPURU I,False,False,False,False,False,0
250,JARDIM SANDRA,False,False,False,False,False,0
251,SANTA TEREZINHA I,False,False,False,False,False,0
252,CHÁ DA ÍNDIA,False,False,False,False,False,0
253,JAPIAÇU,False,False,False,False,False,0
254,IMPÉRIO II,False,False,False,False,False,0
255,VALE DAS VIRTUDES II,False,False,False,False,False,0
256,JARDIM HORIZONTE AZUL / SAPATO BRANCO,False,False,False,False,False,0
257,JARDIM CASAGRANDE II,False,False,False,False,False,0
258,FAZENDA DA JUTA II,False,False,False,False,False,0
259,CABORÉ,False,False,False,False,False,0
260,NOSSA SENHORA APARECIDA,False,False,False,False,False,0
261,JARDIM SÃO VICENTE,False,False,False,False,False,0
262,UNIÃO,False,False,False,False,False,0
274,JARDIM LEÔNIDAS MOREIRA II,False,False,False,False,False,0
275,BURACO DO SAPO I,False,False,False,False,False,0
276,SANTA RITA,False,False,False,False,False,0
277,VILA ESPERANÇA,False,False,False,False,False,0
301,TABATINGUERA,False,False,False,False,False,0
263,FAZENDA DA JUTA III,False,False,False,False,False,0
264,SÔNIA RIBEIRO,False,False,False,False,False,0
265,DO SAPO,False,False,False,False,False,0
266,RAPOSO TAVARES,False,False,False,False,False,0
267,FRUTA PÃO,False,False,False,False,False,0
268,ILHA DAS COBRAS,False,False,False,False,False,0
269,PARQUE SANTO ANTÔNIO V,False,False,False,False,False,0
270,BENTO BICUDO II,False,False,False,False,False,0
271,VILA DAS PRATAS,False,False,False,False,False,0
272,JARDIM TAMOIO,False,False,False,False,False,0
273,DOMENICO FERRABOSCO,False,False,False,False,False,0
412,GRUPO ESCOLAR,False,False,False,False,False,0
278,VALPARAÍSO,False,False,False,False,False,0
279,VANGUARDA,False,False,False,False,False,0
280,VILA PRUDENTE,False,False,False,False,False,0
281,CORONEL HUGO BRADASCHIA,False,False,False,False,False,0
282,SALLUS,False,False,False,False,False,0
283,FAVELA ARAGUARY I (MURIÇOCA),False,False,False,False,False,0
284,CAMARAZAL II,False,False,False,False,False,0
285,PARQUE COCAIA II,False,False,False,False,False,0
286,GUERREIRO,False,False,False,False,False,0
287,JUVENAL CREM,False,False,False,False,False,0
288,PARQUE SANTA AMELIA,False,False,False,False,False,0
289,PARQUE SÃO RAFAEL,False,False,False,False,False,0
290,PARQUE DO ENGENHO,False,False,False,False,False,0
291,PARQUE SANTO ANTÔNIO IV,False,False,False,False,False,0
292,ITAPAIÚNA - OCUPAÇÃO HEBE CAMARGO,False,False,False,False,False,0
293,PEDRO VAZ REGO,False,False,False,False,False,0
294,IMPRENSA NILÓPOLIS,False,False,False,False,False,0
295,PARQUE SANTO ANTÔNIO VI,False,False,False,False,False,0
296,SERRA DAS FIGURAS,False,False,False,False,False,0
297,ÂNGELO REMAZOTTI,False,False,False,False,False,0
298,ALESSANDRO ANTONIANO,False,False,False,False,False,0
299,JARDIM MANACÁS,False,False,False,False,False,0
300,NOVA GRAJAU I E II,False,False,False,False,False,0
302,JARDIM SÃO FRANCISCO DE ASSIS,False,False,False,False,False,0
303,PARQUE COCAIA III,False,False,False,False,False,0
304,BALTAZAR DE CAMPOS,False,False,False,False,False,0
305,ROCINHA,False,False,False,False,False,0
